state,x,y
Andhra Pradesh,-46,-82
Arunachal Pradesh,136,102
Assam,125,81
Bihar,33,61
Chhattisgarh,-11,6
Goa,-107,-85
Gujarat,-150,12
Haryana,-81,103
Himachal Pradesh,-70,143
Jammu and Kashmir,-97,180
Jharkhand,31,37
Karnataka,-88,-103
Kerala,-76,-149
Madhya Pradesh,-60,26
Maharashtra,-96,-27
Manipur,142,55
Meghalaya,95,56
Mizoram,134,38
Nagaland,149,77
Odisha,22,-13
Punjab,-94,130
Rajasthan,-129,66
Sikkim,69,92
Tamil Nadu,-48,-149
Telangana,-44,-149
Tripura,116,32
Uttar Pradesh,-33,79
Uttarakhand,-46,121
West Bengal,71,23
